iter,x2,x3:B1,x3:B2,x3:B3,v
81,7.13607336897921e-06,0.000196602655867124,0.000245321743453003,0.000217335653344451,0.000879035829820195
1,7.31059990896789e-06,9.76470691079257e-05,0.000147038751859737,0.00020737697015284,0.000889223862323335
11,6.80816089036188e-06,0.000127534295250645,0.000190398228419946,0.00019162706459408,0.000862923578089198
71,6.36853271675544e-06,0.000227244211234791,0.000167188121598131,0.000216752704000574,0.00083987615308023
41,7.08741818490023e-06,0.000179106377441111,0.000158703821898291,0.00014094210597607,0.000884470661613575
31,7.09110131597813e-06,0.000206651518676361,0.000175201912579822,0.000158822691961917,0.000868890802756437
61,6.62948353866078e-06,0.000113345169691218,0.000158284923506728,0.000177030721765744,0.000869560934443087
21,6.79563767746484e-06,9.09615015272731e-05,0.00015782141927906,0.000221931857972829,0.000882304553328617
51,6.88012964975117e-06,0.000273578517421942,9.68856386155854e-05,0.000308712509484019,0.000873307691145054
91,6.24222320638493e-06,0.000216643639269924,0.000167580616129125,0.000149715733859196,0.000839677042928286
82,6.86582822209077e-06,0.000142164605110091,0.000160128164851018,0.000155060277008881,0.000883933015628762
121,7.28133184049635e-06,0.000176835460142004,0.000205509664727401,0.000292939881980409,0.000854919038728198
131,6.65198343253305e-06,0.000125774094563959,0.000169155241808886,0.000132713612484664,0.000843675999706325
191,7.42509048732131e-06,0.000196128478067476,0.000184369438276732,0.000212055636698462,0.000855828153194607
101,6.62319890646804e-06,8.96729349690579e-05,0.000183804840364835,0.000181873846226657,0.000829175039920151
111,6.83679368428745e-06,0.000134957598650512,0.000181845241548614,0.00015939000928952,0.000848424725141523
141,6.62927847639781e-06,0.000132757603552562,0.000233696019693665,0.000105094510636257,0.000893227159197248
171,6.44604892385192e-06,0.000254819716774464,0.00020963488646445,0.000173350226729409,0.000877792869008263
161,6.5486591929389e-06,0.000203781424777744,0.000143738165946299,0.000215387533435969,0.000868929541717454
181,6.53474405068311e-06,0.000105577399440085,0.000170682924736816,0.000211190582626074,0.000871289532396036
151,7.03394752065832e-06,0.000152895867277779,9.94312317127399e-05,0.000192366422104762,0.000908356995324339
72,6.80405550732014e-06,0.000151467870604423,0.000119974260959724,0.00012201283645178,0.00086095478283433
