iter,factor(E.prev)1,factor(E.prev)0,v
41,-0.155253841197626,0.285995485903192,0.050490061529407
61,-0.315803527373686,0.13370790553942,0.222864779053798
81,-0.0790550660037929,0.55059415365661,0.374202792765082
51,-0.206413744564305,0.160022761890643,-0.000856690304869803
91,-0.31216880234869,0.00670898450194426,0.117217437102798
31,-0.262254675375866,0.35588157803648,0.290857992953239
71,-0.399280445474453,0.0616989795033053,0.157864376923061
11,-0.375262160594751,0.343516094773927,0.30996335317651
21,-0.264071387332156,0.344016560558994,0.190854530212797
1,-0.128835374340395,0.296249156687545,0.0806078219984804
101,-0.0105297272107729,0.570103663212117,0.301858111220689
161,-0.051410766762293,0.753976933399571,0.221750623319842
141,-0.216600122965151,0.39833001217887,0.456020709311658
191,-0.332374018476661,0.184896523068014,0.405170226872295
181,-0.0980070679991121,0.389233083444927,0.385468102393107
131,-0.176712486847126,-0.0402717616657261,0.104080503580644
121,-0.325816985373682,0.287394530029433,0.274324991726128
151,-0.0596192456436277,0.540872986613575,0.152863573765369
111,-0.429654696217637,0.334341202444029,0.175576760522193
171,-0.456601894326908,0.269514939170554,0.120332045716694
221,-0.394282391073942,-0.0426230465278045,-0.0153690550720568
82,-0.198388221513508,0.209505147238866,0.0547573611307446
62,-0.303664557960057,0.17889587603891,0.226506012703471
42,-0.439716350250326,0.00038654464320754,0.0907791242363776
92,-0.17399809945628,0.217171017794949,0.323544764443476
261,-0.215257999329608,0.234675196074947,0.143637259983332
251,-0.27759268576548,0.45134691004556,-0.119347087990413
32,-0.287885551358445,0.0261944999055484,0.245992225062039
231,-0.20793543340278,0.324951033346268,0.296944588516868
241,-0.337937254136153,0.224450984235817,0.413721626236289
291,-0.480151777470418,0.322724358827596,-0.0310446063483668
281,-0.538797541253654,-0.0746825207550901,0.193014062538225
271,-0.352808146474249,0.372995399818464,0.407835547675531
72,-0.394062369664143,0.361004040763847,0.156414535652817
12,-0.0263216545492783,0.140895369185317,0.217318698612075
22,-0.291271601278066,0.0811720269455644,0.237781160533362
52,-0.231881403359627,0.297111537704431,0.245108070188306
201,0.0550124666635291,0.527610461274005,0.236831200728595
211,-0.285313517396424,0.225673440517243,0.222588132379591
2,-0.434003858671689,0.0522643604656515,-0.0117573569669238
162,-0.318557244963209,0.0727821713760792,0.257064500148735
102,-0.105660627540462,0.790171297122338,0.0784248707193541
142,-0.042183337915478,0.263096813349675,0.236760914267051
122,-0.154293797319497,0.274523863300818,0.187041969843571
172,-0.237416908828936,0.662359851892835,0.0977301644342283
132,-0.240381890280897,0.326010951872398,0.0313602666693985
192,-0.343146398027295,0.0533498420392902,0.214064157978869
182,-0.254005111751237,0.0370191369743644,0.18652503439809
152,-0.280778076017762,0.184129075529214,0.240378163435982
112,-0.632519672582833,0.0593603029129188,0.128347933034628
381,-0.0554262503499785,0.516255009730694,0.416706019423215
341,-0.134366272257058,0.483721624455488,0.0154083466827118
301,-0.606840013822684,0.0588885872141358,0.303799983227301
331,-0.596929001666039,0.0750119538497894,0.293587087015171
391,-0.146919974761387,0.574430441433055,0.391974155095213
321,-0.224125905020135,0.431881728520221,0.112989659690728
361,-0.0371371766651791,0.605999678585027,0.243785064519249
371,-0.211529653251039,0.326517509324848,0.117978483539321
311,-0.154830790531446,0.462387558492992,0.197236547483628
351,-0.196219956430711,-0.0579274938368706,0.10624111914471
222,-0.35579627599108,0.0237903926731044,0.15017410249859
262,-0.698673107177338,0.287672104283844,0.114176586440124
252,-0.393863873049236,-0.171191400139056,0.164207698038534
232,-0.29899714040702,0.183186354177052,0.124131455678203
242,-0.370309578849307,0.356181678494892,0.289611727807292
83,-0.289962836154797,0.207527352638999,0.120328782389869
292,-0.309409289050051,0.155694548112651,0.185099742041266
282,-0.377605018541691,0.423274349326094,0.311607607598666
43,-0.346892037704716,0.188991234522966,0.199146151953826
93,-0.420996687982383,0.348975314289648,0.301291769044212
63,-0.179729059422707,0.479958113502483,0.128508272203468
272,-0.253709127353121,-0.193308373592796,0.321319293707114
33,-0.361275118496601,0.291985990899919,0.211723097281842
73,-0.207557518329579,0.384909566600043,-0.0791076756215427
13,-0.0935049013079568,0.239600386775916,-0.0143930304624552
23,-0.113305563547921,0.237301351455625,-0.0599785550831204
53,-0.373977442122126,0.397730082506243,-0.0196503301690325
431,-0.291147472855926,0.464454113377532,0.184614220555345
471,0.0204680799337921,0.000879410457239021,0.0754140609095561
441,-0.218054822830205,0.496832230354589,0.165072395384797
451,-0.468209913270351,0.221461659114025,0.188228821623151
491,-0.0907641225987726,0.470392326355195,0.214999877108925
481,-0.397396871305294,0.0227456889648425,0.172293906134868
411,-0.0466431661489991,0.506035547363486,0.103817294662113
401,-0.386835308172174,0.27551315465438,0.271787697162028
461,-0.328119248842225,0.466355640567269,0.138606840798656
421,-0.298207818554384,0.143603651311151,0.256034530434954
202,-0.306220893517249,0.119307116539476,0.259602846718798
212,-0.0733643916958056,0.665455076403172,0.0406393936713345
3,-0.276964324993286,0.267647391540359,0.256224542631383
103,-0.233395495150035,0.168243415515144,0.176540540584692
183,-0.340294816992155,0.255285212313867,0.229747264565815
163,-0.207548435636506,0.111874065463801,0.19601552881555
123,-0.361133806931602,0.0143571391607278,0.107758636696564
143,-0.391807644318037,0.135763653089231,0.397416775479129
173,-0.313076695717625,0.197215228826654,0.18862121746059
113,-0.448936939436188,0.11287138323829,0.106154456837634
153,-0.362445622195236,-0.107606882506013,0.195696653874744
193,-0.260015261865279,0.711234081322719,0.143560830297777
133,-0.271063479108221,0.192842958374093,0.230696584943684
223,-0.399011664111069,0.064542343807996,0.179323957835523
253,-0.0588521333695003,0.452724582339226,0.0725357937421617
342,-0.299996581247514,0.276367933770299,0.282698792940217
302,-0.347396474864395,0.428581381509002,0.171616102400575
392,-0.0789232613626149,0.187469729270025,0.417980719089959
382,-0.259953104891328,0.136153119696915,0.230382961808884
263,-0.471273352353055,0.0874212608200776,0.243914550645591
332,-0.253524516137232,0.0949823770872164,0.316264054496408
322,-0.282948977006,0.654840415603742,0.229428489807177
362,-0.262284950917721,0.460190612262043,0.450241126679979
243,-0.195296142525953,-0.131443755501296,0.220031965010068
312,-0.477691547932551,0.0223753895644538,0.121563882131816
372,-0.2460787806812,0.211661361874192,0.0490542620392077
233,-0.43892420051866,0.0846593850617068,0.308795934607191
352,0.0763419471725995,0.475158215507017,0.205802475931581
641,-0.277577054339901,0.242449521608214,0.302773532575095
681,-0.319580353515561,0.290307614282761,0.426220024065082
691,-0.1012072743737,0.446749261192422,0.423833683242638
671,-0.424523007911719,-0.124237684829663,0.431409237202437
631,-0.353390128686135,0.637143515379106,0.13910967543556
661,-0.144743652986187,0.0587060260330546,0.213454539015406
551,-0.273313805543751,0.23232695475322,0.360379982305224
701,-0.400501341638261,0.462129037463391,0.250259129968038
511,-0.446880802987799,0.180485703567639,0.231997143352907
651,-0.0539147274097431,0.538202195407805,0.107561648020363
521,-0.263500027314392,0.142873792623929,0.233524051865441
591,-0.064637676930105,0.392470183598779,0.266023326742541
561,-0.525614989018164,0.154438886005562,0.125655895181376
611,0.0599463875500636,0.946516198243778,0.0571353831888502
621,-0.272864028465132,0.328098889397708,0.128311442522418
851,-0.504392701765907,0.151228948676207,0.419223212028408
901,-0.335358234684351,0.555443256805579,0.203831440531003
501,-0.0699295155553235,0.436134766824801,0.373906808004643
891,-0.071001372334863,0.357031688022906,0.17013864391464
581,-0.157062550466345,-0.0557306588256506,0.245235376012708
781,-0.322316862882489,-0.254354518479407,0.257335860436791
541,-0.611368424709041,0.182738335372519,0.134708942273726
571,-0.0934714005195667,0.225912376367609,0.145571956961471
941,-0.177308157771055,0.387333820841503,0.213341650489276
801,-0.0787620094583528,0.277172071145449,0.248873586412142
791,-0.383287289783661,0.184694227500122,0.0497176414709722
871,-0.255747107994493,0.20842594705961,0.170103585978023
951,-0.239660729636794,0.233905185975817,0.282981603440547
841,-0.281715700757047,-0.0134463339501415,0.159634195998219
991,-0.290548312428096,-0.184517695718151,0.0667299166198328
981,-0.199776412013089,0.529946577405282,0.15364566030597
811,-0.00252291590778269,0.353737361855028,0.01316330626065
911,-0.485603417281595,-0.0451877700679315,0.23974424770634
921,-0.472981817497564,-0.158081960305213,0.145898025818483
831,0.0593910641654042,0.342633810388654,0.246372226567807
771,0.0216832913462732,0.459128518620458,0.272894603730503
821,-0.344141034154205,0.0809447537550234,0.220488667344803
931,-0.276323431181944,0.322160935736374,0.0861551258122933
861,-0.060789365458727,0.0764405520956563,0.0746212083337544
881,-0.172359772763329,0.187056772125535,0.066585151896949
971,-0.11767870650569,0.3622480452302,0.33863180175279
84,-0.118665232940572,0.248716128436899,0.0744800434811621
293,-0.168613734119606,0.523884912927995,0.124305389536243
531,-0.161502596361594,0.638609568314043,0.146382007544389
283,-0.60407447106215,-0.211179423012404,0.174209964948402
44,-0.594483427604975,0.206274099364813,0.414163939809226
273,-0.336498014602961,0.257721260452449,0.127897124961893
961,0.0640733910824017,0.315715314682691,0.239104648685361
64,-0.519004624647552,0.204865034265835,0.291396784855796

94,-0.375790326512648,0.0563446265617682,0.318000757601593
711,-0.039453268640901,0.497946375298795,0.360935851574329
751,-0.118181498364037,0.573555331677344,0.286726324626194
761,-0.267903194347135,0.272418035654572,0.106638780940935
721,0.0887903141878644,0.693997356815487,0.255968261159311
34,-0.259018203133398,0.376287078132777,0.0640080714453286
731,-0.302992152568481,0.221391062578234,0.142839128559483
74,-0.20180515008766,0.490168542842106,0.1979310131747
54,-0.43100021078294,0.152293287722568,0.14647015798831
24,-0.209601253368677,0.494901267049515,0.174113301455629
452,-0.401046574032614,0.207254387871416,0.0867685617613231
402,-0.224159707270493,0.356842132724469,0.162405913159038
462,-0.178676723547417,0.312538011935871,0.166078817309594
442,-0.203187411796083,0.623106589814604,0.235084894313872
14,-0.214288799066392,0.475793822044306,0.0276559703428034
472,-0.276489923388071,0.276166596816317,0.110555630304982
412,-0.303197918645476,0.285633301447119,0.163075534341656
482,-0.272981547039554,0.341799974043701,0.331181304239767
432,-0.318882079296994,0.142383979642112,0.291481757662924
492,-0.357865337450568,0.352514837794977,0.302395623096142
422,-0.47142136990427,-0.0100915864129624,0.159754967853036
601,-0.453902619552638,-0.00757461055944247,-0.0202027256889476
203,-0.355562100294903,0.193721948916314,0.343755122222715
213,-0.351772736605369,0.0939443658640899,0.400903145152914
4,-0.17764265195585,0.497075790622771,0.0653875537531243
104,-0.347650341435969,0.300698713344913,0.352030585863618
184,-0.343443051735144,-0.127003953265073,0.17900564760981
164,-0.297642746605065,0.360375355428433,0.310997905714699
144,0.111717802457041,0.671208277182245,0.230730729233283
124,-0.110099250409409,0.565928594394357,0.0918615483191766
224,-0.0316817984237885,0.269452222045515,0.451076029047123
134,-0.543560444331384,0.405867080266659,0.0634257464727836
114,-0.215554161916971,0.0940280527257207,0.24463794778907
174,-0.435735718449716,-0.385963539450628,0.228918705066475
154,-0.341816380541202,0.140436893873594,0.0529424571121163
194,-0.518332208236032,0.238130932590045,0.4176555389816
254,-0.0895983031944638,0.0844642716594628,0.153318399080429
303,-0.49468221170624,-0.139598709873378,0.300164492847925
343,-0.253084733081769,0.271695587196365,0.35248456729697
264,-0.189217417432657,0.332451680472051,0.143475047351653
383,-0.26819055704031,0.0305082848163047,0.455702438616753
393,-0.401112655846522,0.239293617507066,0.117076216114814
323,-0.0856854374907922,0.575399156741986,0.355728709624907
244,-0.188408168454683,0.528016365757564,0.0684283783444125
363,-0.0628602254816946,0.174604154445023,0.158638700213155
313,0.22838598415233,0.728341595959208,0.278574217800842
353,-0.121457982723544,0.54175303808657,0.138047263360567
234,-0.104730388343204,0.364819752237287,0.205895058252099
333,-0.417078350760987,0.00851974190433338,0.106081248543164
373,-0.0871028957057106,0.172451908955893,0.216177092783555
682,-0.2410899826943,0.374913865719533,0.0990450081548037
692,-0.300072164232491,0.670027770259692,0.0417224693280371
642,-0.187655280636768,0.308312522818785,0.242347177827612
702,-0.0871837143067364,0.703927983339122,-0.024967335620834
632,-0.242385066133548,0.716793078578727,0.183215866108363
672,-0.243251177104261,0.217730046498406,0.229390371296445
662,0.0287060514933501,0.470889654043558,0.306771447812862
652,-0.241276248479621,-0.052567188010147,0.170061614036656
552,0.00302747017433693,0.712181391349729,0.185869046929844
512,-0.0571748010809893,0.648629127922705,0.18487504067504
522,-0.106827592764295,0.268424867431502,0.344720605109295
592,-0.169722481009942,0.314057048188625,0.18261745176104
562,-0.117054893200829,0.544125768851885,0.217104669231515
622,-0.327099567559833,0.27254522559251,0.111550843186303
612,-0.432697847884649,0.37563948043406,0.402160909664735
542,-0.290944356736029,0.152347167919115,0.242071995736885
852,-0.139087401854423,0.48913743476009,0.275627700160066
582,-0.165544983682564,0.493083779521953,0.186229044700743
502,-0.204214748856453,0.427004063613572,0.0287359177873431
85,-0.127692083698498,-0.0175424574739562,0.21250265049627
902,-0.333468570640439,0.390826694741424,0.00960915713192684
284,-0.43669129645201,0.247014706941921,0.364565932830373
782,-0.15151002537756,-0.116097478309717,0.182488021667042
572,-0.518758056975848,0.0761561059550938,0.310673492120426
942,-0.461192260674101,0.439672545360379,0.364612427897097
992,-0.0614482899924907,0.585454392890886,0.453128093783122
882,-0.575259959194519,0.195157697954659,0.259073187524074
45,-0.245921175529196,0.502134850968741,0.0320436388081214
892,-0.0927131764300731,0.431033922452187,0.181546858527975
862,-0.226817626414221,0.498905594843832,0.164397301140727
532,0.203123890883189,0.859508887687282,0.0369817138798543
872,-0.0522046623796859,0.509762023921443,0.130008460745051
972,-0.506193278066805,0.0448472186124914,-0.0805838470568308
982,-0.119586855879112,0.764831246971107,0.00338173687767156
812,-0.128884053113288,0.689821377941658,0.0453109195221176
832,-0.391544821334368,0.422158443950881,0.174013205425046
922,-0.288153796906518,0.383000023779832,0.209135370988431
912,-0.342973459104729,0.338410830186581,0.158153395610243
802,-0.325091452795462,0.408235708961148,0.174337646977672
792,-0.135511525847796,0.379442080071109,0.132621041243876
932,-0.101151655837841,0.212138329691338,0.297020212587094
822,-0.100776518393498,0.661428461839995,0.0998343594695711
294,-0.270360417737613,0.0434842876114946,0.365334406867567
842,-0.111978173653028,-0.0190798866361854,0.120332562043413
952,-0.200932223050135,0.38521690002459,0.231879924231676
772,-0.404407826762631,0.113312736630072,0.126989861608343
274,-0.00303616844658321,0.170175140829068,0.297390857178945
762,-0.518137775598043,0.151991595840281,0.146666096287771
752,-0.240810389892725,0.337929438597563,0.224444215459157
742,-0.250370386630334,0.0999277540216035,0.231744586658556
712,-0.422404365703858,-0.0386819843116813,0.149863040911893
65,-0.398048635501118,0.0871176163717339,0.320592208080917
732,-0.107542146150191,0.4774383884717,0.330745651791905
722,-0.313898808242266,0.388573772754459,0.132003011098517
35,-0.311750405190086,0.532469703269034,0.277191785699714
95,-0.361801461081397,0.185977591273027,0.180959915989583
962,-0.181089851122081,0.803784677778592,0.13772929265348
75,-0.564556326470171,0.0409191983996976,0.394896388794758
403,-0.143234005430046,0.511436493673188,0.174117632078865
453,-0.0378572124089299,0.442394435412539,0.130642330881232
443,-0.125593558212806,0.315090004902954,0.102263109180114
483,-0.301579019116014,0.129765615366538,0.313738712002042
463,-0.223254507065429,0.413001268877065,0.268319082481069
433,-0.410093967141196,0.114782087126609,0.137987926074111
493,-0.519737815439203,-0.231565489506544,0.212582916087073
473,-0.0657507439684743,0.656501127246578,0.210039300635325
25,-0.168951413928414,0.0605019233292662,0.0726434133942593
423,-0.142772010507254,0.278113009677072,0.33372965256937
413,-0.246166853206432,0.298425844716209,0.14891760653841
55,-0.369335433760179,0.383611758982816,0.217190556155481
15,-0.413445634716672,-0.179404835094853,0.247167944173004
214,-0.205802539661192,0.578622418678368,0.0575510062902498
225,-0.0125830841107966,0.650083780973861,0.0516488434333042
204,-0.370593003754915,0.354427617847983,0.0308682187363724
105,-0.392786496012065,0.240549814145669,0.320018725405234
185,0.0195054128561963,0.20640907635675,0.127502488734301
5,-0.312525043097765,0.398252857565412,0.0801011129569947
