iter,x11,x10,x2,x3:B1,x3:B2,x3:B3,v
1,0.0200642934109049,0.0874946312211267,5.19049850093447e-06,6.81191493476014e-05,9.29699440236502e-05,8.49346673375293e-05,0.00347898162295903
11,0.018258698018639,0.0709481135427195,5.08933574910078e-06,6.44409142062774e-05,6.304633031021e-05,5.35662075457892e-05,0.00318762237993634
71,0.0187232421335098,0.0607281333572834,5.78594575993501e-06,4.60019732359686e-05,7.61604059946272e-05,4.7060093368212e-05,0.00323435496957749
81,0.0176342483478456,0.0664278082367415,5.23975960276791e-06,4.02323403143511e-05,6.5098562969695e-05,6.94404145957581e-05,0.00324515237002061
51,0.0200170598926165,0.0628570840255541,5.23500061139458e-06,5.24796169844219e-05,9.0692660159482e-05,7.26612630192261e-05,0.00329669256369375
41,0.0179281227475918,0.0726135617220217,5.22620353256299e-06,4.85105382142032e-05,5.92450560704996e-05,5.60659034474242e-05,0.00322561083943263
91,0.0182026170397198,0.0656218332396998,5.07303926297149e-06,4.6973979311685e-05,6.7270268583012e-05,6.00426108609211e-05,0.00317497057701633
31,0.0173678533586029,0.0831757662834005,4.34292528905443e-06,5.64091973606246e-05,8.36105936431302e-05,7.0398200338239e-05,0.00309972343528455
21,0.0182600862342697,0.0666174182812475,5.0535246942196e-06,5.86834859248812e-05,8.0487228820772e-05,6.18504478056874e-05,0.0032690853908646
101,0.0167910712454468,0.0755759567986545,4.73420204942704e-06,5.60705382265966e-05,9.76087124036503e-05,6.55899269581552e-05,0.00327740907665639
181,0.0178100253631765,0.0774695457897755,4.79749018383846e-06,6.0795364740448e-05,8.28176641976673e-05,7.24087118955461e-05,0.0032728217617092
131,0.0172726396718418,0.0684552584831963,4.7213842717388e-06,4.69075285697443e-05,8.94884801136395e-05,6.24795459749525e-05,0.00309757750243961
121,0.0180182709981108,0.0724002695373563,4.65983008444691e-06,5.63384856285098e-05,7.97142398480875e-05,6.02606058043937e-05,0.00309367792027888
111,0.0151069637425493,0.0503503749463912,4.89529020957427e-06,5.0119018304239e-05,6.44228084644125e-05,5.17432564859451e-05,0.00309336265890165
61,0.0176951589539036,0.0695960267518506,5.22771803548257e-06,5.44308018773438e-05,6.32045390229614e-05,5.97875174978555e-05,0.00324560447133294
191,0.0175082315943829,0.0754852808964162,5.54855335617097e-06,4.42427649803739e-05,6.31380887879826e-05,6.79904640252674e-05,0.00334066390059174
151,0.0177747457127846,0.0650935708897987,4.4427271948964e-06,4.8003589136504e-05,6.66740272448661e-05,6.99132950325939e-05,0.0032160890248492
141,0.0194963486120245,0.0763370453251445,4.5610976476421e-06,5.84512679280836e-05,6.46359006612399e-05,7.62200046748777e-05,0.00327379038824959
161,0.0184989384323399,0.0704939405967068,4.79125862107629e-06,5.35195490971145e-05,7.4985009261872e-05,6.24487789038068e-05,0.00329478475029706
12,0.0201521998414509,0.0811548741439221,5.26995905603843e-06,6.99269538724152e-05,8.11263925639005e-05,6.51611268789653e-05,0.00335063850560259
2,0.0192669858964009,0.0671766123547172,5.99971051167677e-06,5.09733833648829e-05,7.7413185713978e-05,4.99774343349842e-05,0.00345656771584814
171,0.0185008277842023,0.0608561982508293,4.87151085807572e-06,3.90167246744378e-05,6.04051965147551e-05,5.35347556055913e-05,0.00326448252212679
72,0.0182425726396456,0.0716155871712809,5.4598161757092e-06,4.77992986503829e-05,6.51401568374939e-05,6.69513930418353e-05,0.00329092360251147
82,0.0197694381755623,0.0680619586872604,6.12679020982396e-06,4.3669448348343e-05,9.52556337313745e-05,7.03753451900959e-05,0.00357982334863119
261,0.0173859511432408,0.0874220754319421,4.78754822998944e-06,5.87704981524941e-05,8.00606987328552e-05,8.73208694134532e-05,0.00327733119020689
211,0.0188489034185254,0.0710869989805406,5.11278475220196e-06,4.49713918921657e-05,7.46153262996473e-05,6.37860415980876e-05,0.00313688868875065
241,0.0186870600472002,0.0645605053528919,5.55252386377031e-06,4.69563264914895e-05,7.7740629849577e-05,5.242143287147e-05,0.00330450120006962
251,0.0157302348255202,0.0971922374153026,5.34066969335818e-06,6.94237583986188e-05,0.000109280593909088,0.000101346958886231,0.00327961021581598
271,0.0166848588657656,0.0651926974652845,5.11693728734561e-06,5.83273627153547e-05,7.83212934336757e-05,6.45725009362709e-05,0.00323450962536263
92,0.0197222929206788,0.106950137505736,4.92414481545558e-06,7.13994625382232e-05,0.000100734378220217,0.000108743655850418,0.00320533476528407
221,0.0180393538739557,0.0676644455343473,5.24357605437927e-06,5.1074506356003e-05,6.60541763345347e-05,6.80827420009635e-05,0.00325727031572356
231,0.0201173511199051,0.0826216207235116,5.81123191946998e-06,5.77678477916691e-05,6.16785536558813e-05,6.94749252192627e-05,0.00338100858361744
52,0.0197575596695623,0.068481269438076,5.42724458273567e-06,4.74959420211353e-05,7.3790001679005e-05,6.24649676074264e-05,0.00335542414037398
42,0.0181602300058722,0.0717666889072434,5.31522647442189e-06,5.065862222677e-05,8.80084080026812e-05,6.58060400066767e-05,0.00325686630884041
32,0.0158131542971455,0.0890906943435105,4.65473358840943e-06,7.10950111590014e-05,9.01642401994846e-05,7.47370347623126e-05,0.00324931213678005
201,0.0206931494057017,0.0794502799933598,5.76521268209633e-06,6.47662886165523e-05,8.55458028462808e-05,7.87726149615469e-05,0.00353532050312784
182,0.0162110495713589,0.0661143166372171,4.83378666184894e-06,5.18903343949502e-05,8.99653773676899e-05,6.72975913113164e-05,0.00306522265062733
22,0.0187809300702856,0.0697303913982444,4.68760599412175e-06,4.56719495428729e-05,7.64138065043551e-05,5.95959285486432e-05,0.00299681491681649
