iter,factor(E.prev)1,factor(E.prev)0,v
31,0.0783718889415174,0.115121095073842,0.125928880063073
11,-0.027883663136318,0.113136566436753,0.169112107719311
81,0.099012909665835,0.104059396495654,0.129278388203943
91,0.0503655508883426,0.0196134050893534,0.200390368412171
71,0.099909997112968,0.212397462704305,0.192973948968398
41,0.0546952104947896,0.0735538807242396,0.179479041289777
21,0.080509198748776,0.00840232905697402,0.195010783238208
61,0.041013358033293,0.103567816209454,0.162328579337173
51,0.0386302156950042,-0.0197776625936263,0.15852137274945
1,0.0936212439941077,0.0767444713586169,0.187643010848567
161,0.0826204303599208,0.114906552612351,0.182042917107364
151,0.0263486921889027,-0.0148561327313124,0.180120838105322
171,0.0526826248797686,0.243281974996492,0.175670259658752
141,0.0706111520048664,-0.384464977329069,0.196990934174867
121,0.0554743512203949,-0.169115568443008,0.197943891837731
131,0.0413736351488589,0.121195174822905,0.169736475387696
111,0.0805569618077325,0.0812119621791936,0.183818371187906
181,0.0791336549886901,0.070151444183787,0.225550009284052
191,0.062659473445679,-0.135858648976032,0.220264225397104
101,0.0678332577965954,-0.084801226535453,0.178798320805363
271,0.0310215679855063,-0.0717308390272154,0.183972485048913
261,0.0664662585525419,-0.0984894499372233,0.157189195114684
281,0.0148736377139905,0.096150246672576,0.16038968564273
291,0.0640947301011447,0.0799720191498158,0.160697439723254
251,0.0506752727249028,0.0857247040851928,0.205454173515443
241,0.0282732714559053,0.0910485448443324,0.181948467148707
231,0.0403862384386434,0.110837107626909,0.19176411945153
221,0.0507554685074172,0.0794564983242461,0.177139570543058
201,0.124686027736916,0.0109940390408654,0.181271926292958
211,0.0819761742202982,0.0277504356610902,0.190982154744436
371,0.0782362893906025,0.202059505819094,0.13930965469859
391,0.0930058954118268,-0.146973136646303,0.182083232369171
351,0.0374144953293681,0.200422047644248,0.146448873754668
381,0.0624821912963922,0.314729540916498,0.2059986904468
361,0.0618932486623789,0.0342791315408698,0.158101428270117
321,0.0489395623591039,0.159053619698909,0.181208631933354
331,0.0429245206952016,0.111502761006369,0.140248310008118
311,0.0486079400768436,0.20425139423494,0.231283000771322
301,0.0607089394989254,0.108172924876309,0.197298611086763
341,0.0816201282634215,0.0366297764663648,0.180782960054216
431,0.0799459019542628,0.246013921516758,0.180874890708926
471,0.0419235600983325,-0.149452595886668,0.169357802141232
481,0.0681447384004818,0.123086682493596,0.167010414327775
491,0.0682188207176637,-0.0550159910277756,0.160148207527296
441,-0.00206142463345202,0.362057907668886,0.168691241823145
461,0.0549266048798358,0.0673300649484797,0.19579350231601
451,0.0846901206402934,0.0274816088989809,0.169913157194678
411,0.0769675265266486,-0.257594310537263,0.194785254868062
421,0.0837282434326337,-0.126046223888845,0.158411295280423
401,0.0830315397112927,0.0850062014983387,0.202689025714657
561,0.0644263674448226,-0.00446005236556811,0.175358854374093
581,-0.0108165572576195,-0.130026899544074,0.190996184467224
591,0.00199040974164741,0.141485720475148,0.205290759924918
531,0.0130056683657635,0.00998621400131231,0.156480774950256
501,0.0703200172184482,0.00545263467822129,0.182364150469231
571,0.0269868595819381,0.286081569411333,0.235962875678374
521,0.0664440920809679,0.0184868241536344,0.165424440978741
511,0.0797750458938027,0.0860893130241007,0.156670346752982
551,0.0473582738888419,-0.107372705191151,0.172527176537272
541,0.0758047768691327,-0.0446583386815414,0.169173218400754
681,0.0303332685214964,0.178278992194719,0.195828795706084
601,0.00469316866200845,-0.0715346876991007,0.180061194972277
641,0.0759449634403188,-0.21744027646123,0.180275548152503
661,0.0558014509840615,0.135682615520784,0.172744983191863
611,0.069282377440273,0.0905638006744373,0.191140596590664
671,0.0143404116073766,-0.113771357130572,0.188509608168915
631,0.00714336278488401,0.34162253114936,0.150429065666287
691,0.0586837904128164,-0.240359593308908,0.162426877430592
621,0.0684705030322229,0.174152185857464,0.218101265719724
651,0.0387321299812388,-0.0821398591741345,0.174270086492523
791,0.0279613597156207,-0.170038661222373,0.162050305658102
781,0.0512544791316339,0.0435980677070761,0.178439911507846
741,-0.0170710150490996,-0.117413655373635,0.186900714129359
721,0.0392483667110578,0.0872905118691442,0.184470459341521
731,0.0303881044399375,0.00620416813035131,0.220735154267848
761,0.0318147174519954,-0.0836158756056402,0.171749344133287
751,0.0410929415228501,-0.0118633119455549,0.174677906877844
701,0.112023409058709,0.419691390946741,0.177384136451952
771,0.0667912004319816,-0.0936527622581683,0.135491968667991
711,0.0661433286869615,0.0831534203538498,0.185270762222065
991,0.0492433476365157,0.0613755816414164,0.174123626404633
981,0.0267006774515967,-0.191449586322167,0.166256419842084
961,0.10344502215435,0.275293932843857,0.186045819359044
971,0.0873059504922802,-0.103806669541236,0.153740909817216
951,0.0231804245598618,0.0476615389297272,0.167576038806206
811,0.012983028675285,-0.0607036025954974,0.160047422576532
801,0.0466440451102139,0.13383123897814,0.203370568049689
941,0.0629886438197493,-0.183367385706604,0.156556542753892
921,0.0702663816470345,-0.0779866617064027,0.192896906961036
931,0.0389187795061517,-0.0348469519393004,0.184864038760771
911,0.0602603612778144,0.00875062106837383,0.138676457611977
891,0.0196246400268798,-0.112040984993806,0.157354893033834
851,0.0678137426174895,-0.287205565143057,0.175393885733895
871,0.0785992303469952,0.104691553008602,0.171044877938734
901,0.0978506344657701,0.0929957434826509,0.189773760367674
881,0.0237885894930995,-0.100761038814044,0.221533403945833
861,0.0385290440622366,-0.206884986956479,0.192280758748403
821,0.0613079161605476,0.0687250961465832,0.203271379463184
831,0.0652096677727416,0.174590088127585,0.169575247712134
841,0.0802300126937506,-0.053213896943427,0.173624568865094
32,0.0523062720768764,-0.19946464956616,0.157557277186215
22,0.0725747332204834,-0.118332020948863,0.16675926712525
52,0.109879543364457,-0.2238277047368,0.167818194638843
42,0.0863978683561953,0.142089676044475,0.18477295658057
12,0.103359112627117,0.0994717241175926,0.195101785864448
82,0.0711987704301483,-0.0651852551140167,0.181017799366244
92,0.0388543264977419,0.209365192776379,0.167725604877592
62,0.0431016566345473,-0.211011521499418,0.158060563735679
72,0.0137648501433366,-0.0533100289416869,0.18917326538956
162,0.0769095981305207,0.0511516493730944,0.205152099384041
192,0.072085893079108,-0.167469908604039,0.153188854003555
132,0.00178793445679942,-0.00678214418516764,0.170982091113501
172,0.000897638301064287,0.322793926384562,0.196259491068688
152,0.0866950911844708,0.0506886397677182,0.15192092649312
122,0.0432119025934946,0.171671691949766,0.15655286390468
142,0.0420629288049362,0.104423354901608,0.179494889431318
182,0.0974369799253562,0.249341734449909,0.139253209615141
112,0.0566785570914058,0.185151316177251,0.154046344038577
2,0.0690193810132993,0.0664216981199534,0.144702573958111
102,0.0342066798328566,0.306398311090299,0.196744864463411
202,0.0301678798978441,0.089565591807071,0.188520320588602
292,-0.00685241254302896,0.0195760516851707,0.159306321883545
272,0.0391068847371313,-0.2408011895298,0.176317365563901
282,0.0313724702193114,-0.0214573265473073,0.211167225683361
212,0.0448830127926548,0.350278402806745,0.202033981784601
252,0.0498304972997292,0.163107609350066,0.181298383021094
222,0.0757365261253102,-0.0668480544364575,0.183454566328632
232,0.0060677052469576,0.0753228818818655,0.162598735748002
262,0.0454456324550396,0.118488541476333,0.196495901982229
242,0.0771985931757829,-0.146941650968027,0.176339351023216
163,0.0360938636788736,0.150171391748282,0.210133133820279
133,0.0467674549735448,0.108679734456332,0.183007632362966
173,0.0664136614370835,0.183233152556012,0.210082170492441
193,0.0127824492665133,0.156011070397033,0.193353025296975
153,0.084654185665223,-0.0564810412725534,0.18456501110747
113,0.0325417710579695,-0.0767734060931129,0.219949788001065
123,0.0746767237977799,0.0984159421645002,0.166941825703113
183,0.0881723003805995,0.0534691756440649,0.187722589241024
143,0.0857786370616322,-0.0935961724788492,0.188734924780501
33,0.0493443837902109,0.179023134396393,0.171938953363026
53,0.0971461514523722,0.178259368546463,0.189469946531867
43,0.0120169726968234,0.129067880694128,0.174638073866192
23,0.0711184599010865,0.142197378893634,0.190727199344066
13,0.0631853224693603,-0.0783366397996634,0.185664042967409
93,0.0760547648108253,0.294752795319347,0.206277914236521
83,0.050503945410552,0.0712462130436177,0.14499554226651
63,0.0482565243033494,0.203975356872275,0.22228288115788
73,0.0693256117684973,0.0311993892779081,0.18086628967855
392,-0.0328683439293509,-0.292344742159495,0.179908997989034
382,0.0932979227562971,0.11895537491689,0.161276178953219
203,0.021186643463365,0.173450270586788,0.192008792073969
3,0.0668611759252818,-0.0627343208524187,0.145322831689619
283,0.0352412557051931,-0.0514414547115474,0.182240154368152
103,0.0762326311660129,0.14610789405358,0.229958048354423
