iter,x11,x10,x2,x3:B1,x3:B2,x3:B3,x4,v
81,0.0220565191457854,0.396060715524124,8.41230108120262e-06,0.000667086531560488,0.00191789576367337,0.00082881172143316,0.00162567782749961,0.000828873701053252
21,0.0198166399650814,0.430103121843239,8.1527962301674e-06,0.000704598541081412,0.00104982632419856,0.000891750817243544,0.00163320638103222,0.000815660425452679
51,0.0232305999027027,0.268619074077029,8.34731059114013e-06,0.00047153497107982,0.000942343770446802,0.000586218951767432,0.00155331227982498,0.0008206132929846
61,0.019982578110376,0.254150141828501,8.39978745871136e-06,0.000474228631974292,0.000747584651142532,0.000521170430036751,0.001634825825282,0.00082123937826766
91,0.0211035175132271,0.329494446562123,8.32810625760029e-06,0.000589210910923228,0.000807509113779615,0.000608784604698308,0.0016620179210232,0.000811135342773556
41,0.0212075252404023,0.312867190209532,8.61326684836574e-06,0.000567105978625815,0.000843972109611847,0.000657156632200167,0.00166816085244757,0.000819717198740115
11,0.0213101850504106,0.181302913630344,8.36891080730706e-06,0.000355776944906987,0.000511459997264275,0.000385962836415041,0.00164804732617228,0.000826029152519157
31,0.0192149273303923,0.252022466351704,8.68209109019757e-06,0.000422788196889926,0.00152091425404798,0.000533578300235132,0.00163449547123212,0.000815107606166312
71,0.0197734309929661,0.212207780378932,8.20194391233236e-06,0.00041067771332929,0.000560489298682713,0.000490602920115776,0.00161801351989564,0.00080478213928379
191,0.019352012943838,0.222692301754763,8.3354356643111e-06,0.000469107001412245,0.000621425256412957,0.000488884983742637,0.00162111305199586,0.000814128637032406
1,0.0238951607676675,0.368081720161457,8.66047375223309e-06,0.000615275789314767,0.000856072577384058,0.000716244651107119,0.00170256630036008,0.000816629547050127
141,0.0211958986050839,0.321904428770412,8.43668430392877e-06,0.000563874554454624,0.00102145436482705,0.000698052607025406,0.00167026655831212,0.000824515718531288
161,0.0258927662391593,0.327971446281747,8.44939200893324e-06,0.000537838929392965,0.000886675931925833,0.00069570710205917,0.00165108506043302,0.000823136832184249
