iter,x11,x10,x2,x3:B1,x3:B2,x3:B3,v
81,-0.650206131946226,-0.0931746036160269,0.243298011006632,0.193701771476451,0.0749525513968326,0.0131940392957339,0.110344557215788
91,-0.689182405275587,-0.251304623224856,0.240333856049562,0.171206931534104,0.129247779869235,0.0547045893694439,0.168722773510754
61,-0.766493546566947,0.807311422721961,0.242939688788026,0.137258219149318,0.0797872328261144,0.00317282211901868,0.129591474493089
71,-0.729300303802365,0.597015132721963,0.239354784883356,0.139401792428331,0.0986914954586384,-0.0034217903013565,0.118683015964991
41,-0.787823465795217,-0.424788914293582,0.244655991502351,0.201028457920117,0.152057433129005,0.0639684147321041,0.16049674637553
21,-0.694065699862266,0.307150207019332,0.238442621377235,0.171833583954434,0.104020608519432,0.0167278574424464,0.156319025399161
51,-0.584389924156096,0.212895038966858,0.242277851066588,0.169434840190562,0.0919098577163749,0.0291906284492584,0.13792800203162
31,-0.913209319875037,0.683180601120086,0.244350253962815,0.137387581553192,0.0231677406483857,-0.019804245848268,0.132328271337436
11,-0.706350750868198,0.607249338056528,0.240599848631343,0.15195604661339,0.112915573212316,0.019352673366821,0.130549928237069
1,-0.549804330804514,-0.355563702884359,0.245832884142511,0.192575986409366,0.145389229574546,0.0540266064245018,0.135133053103339
161,-0.402409531523271,0.769301211769252,0.240236931260787,0.164664069463231,0.102477982648861,0.0217496756854407,0.149463814482104
181,-0.658122723910453,-0.115812731223843,0.243219852466118,0.181385888807653,0.12524866253652,0.014458108000403,0.130643876969687
171,-0.625657814739511,1.35094697255071,0.241441859130784,0.12328622499283,0.04913899583649,-0.0291342277261226,0.131896383170734
191,-0.765486752997807,0.632222211738633,0.241186916060093,0.125184594445352,0.0940595579750707,0.00149254408781819,0.199972229825577
131,-0.828408726679157,0.316894030383975,0.243956530541315,0.148952286295728,0.0946113219490147,0.0208453883617594,0.164710565483992
151,-0.776856727540052,0.633392663345481,0.244064042813872,0.157969949435957,0.0600161229364459,0.000501257013209633,0.170013807171748
121,-0.730597514534191,0.360960659219366,0.241150554930014,0.15992351387574,0.0833253188446594,-0.00190878880323196,0.124994697837116
111,-0.709857853791397,0.393959017964733,0.240478753867373,0.161826548151307,0.0868579910994003,0.0213162441960603,0.103848284064271
141,-0.685369382137792,0.700280115717429,0.24200021161338,0.155809538943455,0.0748323199718553,0.00887840732737132,0.125367058682766
101,-0.903525452404927,0.349545977098898,0.245889217131716,0.163548904430706,0.0741614755702171,0.0168028751852719,0.196911572895604
82,-0.603093414792698,1.47673598286514,0.241181612028071,0.122417204817903,0.071915318051324,-0.0127011977016322,0.132760696992009
291,-0.664860464748586,0.00941751890198964,0.243181435995961,0.197451938737093,0.135323565133526,0.0324560083744018,0.178005177720227
62,-0.487135189140053,0.0636770801740099,0.245822907659252,0.175255453926781,0.123600037067997,0.0221952556567629,0.166031707166112
92,-0.27875332125318,1.01137403166817,0.235088633610066,0.154419798120224,0.086992991200912,-0.014930839592294,0.116181074813548
72,-1.02537988822267,-0.421877201564223,0.248774072493947,0.171734550152568,0.138651860743063,0.0498168788359342,0.174915172385169
281,-0.885651982122629,1.17275829856684,0.244723301311963,0.126252143722085,0.0733715777166873,-0.0472679498400512,0.146145254901866
