iter,factor(E.prev)1,factor(E.prev)0,v
91,0.00214313618530049,0.0497647556656471,0.000648453596561923
21,0.00228850346762301,0.0394035861101731,0.000650826342619956
11,0.00215648442567644,0.0497304180667136,0.000652840366516825
81,0.00201905133733751,0.0520761878113168,0.000643445397074268
71,0.00218414698658884,0.0476590776608136,0.000642011970940047
61,0.00220349720819549,0.0324941371170033,0.00063957742375429
41,0.00207674837847982,0.0546544815892814,0.000638390346858269
51,0.00212319985084888,0.0576302238135926,0.000646228366347043
31,0.00205097044203747,0.0474721828053193,0.000633604709559016
1,0.00203494683931616,0.0735203187893288,0.000640906602775531
221,0.00216100441190508,0.0437979101298075,0.000646633310406195
201,0.00217551627935132,0.0438955660608609,0.000643796171358216
211,0.00232915280754228,0.0477991468646937,0.000652944170730574
191,0.0020438356859557,0.0546740328956764,0.000635988197316538
231,0.0021286732339094,0.0391127459378392,0.000639963250857311
381,0.00203844639924488,0.045515390856557,0.000642112238372409
391,0.00206786173461615,0.037839953090787,0.000649798796831379
261,0.00207069914233715,0.0577835146080804,0.000643924306187855
181,0.00227864604393069,0.0476885876224427,0.000656675766767956
301,0.00206083764777911,0.0519808617175241,0.000653818394213934
271,0.0023787724299934,0.0459654988956137,0.00064432261176851
151,0.00210999641605085,0.0496445333517616,0.000639954213318119
161,0.00199360701414927,0.0365392904277762,0.000630849104532404
121,0.00212337914426301,0.0576758750760246,0.000647730902956486
141,0.00204635215642536,0.0378151606426491,0.000638491100584455
251,0.00216875425421101,0.0377752052123245,0.000640271448266725
281,0.00211135480559384,0.0438772522308969,0.000649752340061316
131,0.00217121726317353,0.0609161954557156,0.000646575592794335
291,0.00213271989536152,0.0546618918898632,0.000650361926578014
171,0.00212432911768806,0.0650985719753518,0.000632614798167617
111,0.0020815617921968,0.043649754581617,0.000641443111555008
311,0.00219572174722527,0.0316579691887843,0.000648627180095292
241,0.00219361550915452,0.0372552452224138,0.00064957142846443
92,0.00224613810583229,0.0476391475495616,0.000644686615951456
12,0.00212866092371717,0.0550455048102083,0.000641346960014581
22,0.00216885644277837,0.073555529061424,0.000636668558088711
731,0.00203456514561329,0.0454391181527781,0.000652211560724817
921,0.00213291136281793,0.0378957192343813,0.000641406834874545
741,0.00217475341485369,0.0476141398077273,0.000646743688753792
371,0.00213596836687861,0.0576289730369715,0.000656344409798928
721,0.00215626712147163,0.0499655635511991,0.000649822009457765
761,0.00202365779421418,0.036509939361839,0.00063964923575227
901,0.00210628309582875,0.0547191183679925,0.000649933150931611
791,0.00205270838728343,0.0645207723695635,0.000634565800929147
951,0.00223262678408455,0.0379336098170132,0.000651156129339672
811,0.00209914440020755,0.0496831896687087,0.000649034246071122
321,0.00216468613432354,0.0521489400705327,0.000646002346450218
331,0.00210617621877179,0.0366091191535251,0.000653106148615662
871,0.00210334402290148,0.0405409360260569,0.000644425460930449
