iter,factor(E.prev)1,x2,factor(E.prev)0,x5,x6,v
91,0.027018128080341,6.74442253970256e-06,0.0658074918406106,3.13442152476493e-05,0.00933846650970621,0.00377453890219543
81,0.0267659721731101,7.18435448549172e-06,0.0561530218566334,2.60520974600715e-05,0.00970806967643036,0.00362329266857501
71,0.0269751558721694,7.53548229598593e-06,0.0589985149906382,2.85382687828384e-05,0.00973787211322893,0.00377227936048779
61,0.029036855617708,7.35451976838957e-06,0.0562081621686475,2.29265129404653e-05,0.0107088365118476,0.00376376826515694
51,0.0252511049193023,6.61548162585213e-06,0.0579394846412658,3.06671396392679e-05,0.00928477119384694,0.0037106958176747
41,0.0286077755371566,7.43450525562395e-06,0.0566119668562576,2.63817814423852e-05,0.00980871178102652,0.00378861649653357
31,0.0249908527073638,6.75824180922657e-06,0.0580201903334139,2.51419033666718e-05,0.00874594659577667,0.00342458176110783
11,0.0253171064597582,6.79524569402969e-06,0.0497570925610751,2.41068197312196e-05,0.00924077829281943,0.00352726168474575
21,0.0267447954135162,7.0896094657607e-06,0.0616345202025928,3.02836855178838e-05,0.00915631490779011,0.00369351315018139
151,0.0307770549086608,6.76275135829253e-06,0.0636735579107391,2.90355856229064e-05,0.00920867633146086,0.00364583880876348
131,0.0245361794022778,6.4569870569005e-06,0.055813911061244,2.78033227382503e-05,0.00901912532570717,0.00346545625290172
181,0.0289137810814675,7.08159867002758e-06,0.0586579845562904,2.56610895471862e-05,0.00976734614266647,0.00373253729205878
141,0.0256521371011166,6.85661724345788e-06,0.0546991192968605,2.78109761332263e-05,0.0103979282239277,0.00364232999823956
161,0.027798132659871,6.85882869817674e-06,0.0698073145707049,3.65678555378276e-05,0.00956003014851385,0.00373773867771165
121,0.0268294930130223,7.27913288034637e-06,0.0554134268375635,2.53533780440993e-05,0.00982106133895121,0.00386426166575743
171,0.0292485614417268,7.5721204780288e-06,0.0558467892784103,2.49425902626684e-05,0.0100479787231525,0.00361595093862323
191,0.0261415910118147,7.0125599597306e-06,0.0649776362969545,3.2539881084875e-05,0.0095827186794643,0.00367008389856427
111,0.0246683562849645,6.72926153838642e-06,0.0514265924069734,2.5756387525058e-05,0.00904040930294318,0.00348475564614172
1,0.0315044493554564,7.53421691194695e-06,0.0575653517174943,2.60315761666673e-05,0.0101085897719994,0.0037930279804594
101,0.0269807323960088,7.33604296664142e-06,0.053965477703958,2.58828446691163e-05,0.00904416068611908,0.00366913795170389
271,0.0282698599817041,7.28010991211871e-06,0.0635159995860045,3.03968735101868e-05,0.00953247609525072,0.00376589576211583
291,0.0292997339008871,7.62750777537786e-06,0.0594330700286598,2.66096438119134e-05,0.0102287140962075,0.00370188147785321
281,0.0252212934147202,6.95962313717099e-06,0.0504561988928605,2.56872202033398e-05,0.00969637618600223,0.00350764891768558
