iter,factor(E.prev)1,x2,factor(E.prev)0,x5,v
41,-0.795526122388735,0.0773157213499834,0.620890670075027,0.0511027601288069,0.107088424731453
51,-0.52271622216026,0.0688772834781825,0.250233659900753,0.0535242688707218,0.202306547808025
81,-0.872134403596321,0.0761451353149888,0.570475106779796,0.0513364592101646,0.136564407890423
71,-0.78300462894347,0.0731919857297183,0.428833217943117,0.0511871146474767,0.250301720382079
61,-0.586769429982553,0.0728617733943997,0.613077674688172,0.0504656906123787,0.272063406324963
91,-0.567075510892092,0.0712938342170542,0.358358715285406,0.0526920409019906,0.380004871632574
11,-0.847082937401119,0.0749521489813726,0.637442444791874,0.050091335028518,0.285722074508537
31,-0.710844496043783,0.0706756717209126,0.656707966785115,0.0436607432489185,0.164965898783059
21,-0.523280806934328,0.070541456207674,0.662620154026333,0.0503579230763989,0.201258905664105
1,-0.581751540573043,0.0760672997933249,0.715929151465829,0.0512794197896043,0.180197796935751
131,-0.773510304732732,0.0742928564989017,0.435198768374085,0.0501194183064007,0.166534762296681
121,-0.558448543893078,0.0697325722119567,0.887334534608609,0.048451206706908,0.230323954245784
111,-0.765087754363106,0.0710841236824467,0.478378281910636,0.0518639657549801,0.203443092054367
101,-0.6287144580259,0.0727260562174894,0.770195538503647,0.0471370120271222,0.153952076400998
92,-0.433641844511794,0.0727574242910218,0.772395782202481,0.0496059420274491,0.240249028727221
82,-0.627948950066585,0.0736532511211843,0.922616341702383,0.0472460400398547,0.276087245978594
72,-0.481278820112091,0.0757529086459554,0.736955259978095,0.0522061893688192,0.263342964558014
62,-0.691693642625388,0.0697786756813695,0.240917495760486,0.0567315951464389,0.171774456483403
52,-0.396416486610574,0.0747221097422186,0.932492016319922,0.0508586589822798,0.157688347833195
42,-0.738241733403884,0.0718090461700812,0.445899818497125,0.0515998896616884,0.286070311510044
161,-0.660940007184344,0.0718448664516491,0.573508606437187,0.0565793941253179,0.164074276469867
171,-0.542886910134162,0.0704246132551647,0.783786419226574,0.046337377427224,0.0404330589228107
191,-0.693298969539477,0.071942603320359,0.0673168199160987,0.0630673257525218,0.141433031111737
151,-0.460181045745185,0.073592419065529,0.907064031451847,0.0508894422191796,0.247762741783804
181,-0.38987835693057,0.068770859071248,0.931849153676628,0.0473657511043703,0.142567147202563
141,-0.642528166106245,0.0700056493159906,0.64771401871888,0.0401883431572943,0.135247983999077
281,-0.720879769007732,0.0736821553743288,0.92566136103657,0.0430320950222789,0.169705991112853
12,-0.678184827895861,0.0714706096341977,0.514393056443152,0.0512436847544693,0.205661724418075
32,-0.441936137948188,0.0674770859031435,0.479232661323435,0.0495348093850324,0.24958233987578
22,-0.498600300424998,0.0702480306492561,0.676155737867177,0.0531093331090335,0.241118041467942
291,-0.800464378695916,0.0742499175988893,0.29822832144185,0.0579223902040433,0.253481658667964
261,-0.448568481715152,0.0694360275812055,0.582663817961347,0.0550202470674964,0.12808251877876
221,-0.793420600795587,0.0719360799345832,0.339952818676065,0.0515075264704496,0.20909151262387
201,-0.68479456678102,0.071855536347778,0.637664681948789,0.0507913352969862,0.16250304821077
251,-0.630516243880328,0.0742810860988168,0.740048862385262,0.0498096131002961,0.0553014672620247
241,-0.849711094818577,0.0714465471286547,0.0805439850304004,0.0604898030566746,0.196395584065842
