iter,x11,x10,x2,x3:B1,x3:B2,x3:B3,v
991,0.0171792876975453,0.061179475072767,4.67962651221374e-06,4.80063719792826e-05,6.55453056752438e-05,5.88616175440651e-05,0.00301243185886475
971,0.0210255461135201,0.0583055117175496,4.93940739029903e-06,4.15649363549794e-05,7.48829142409511e-05,4.89543842960661e-05,0.00305546130779991
961,0.0187480959292168,0.0488725369762733,4.99864045163455e-06,4.00963633535419e-05,5.89374560808991e-05,4.21025757670757e-05,0.00297666348916691
981,0.0197501808162024,0.0670880668404501,5.20668818382333e-06,4.90747243827108e-05,6.42904619125849e-05,6.78396308238847e-05,0.0031837955026901
351,0.0172318357542792,0.0558282875063077,4.94832316263239e-06,5.00312033958384e-05,7.02888930310605e-05,4.89165218675881e-05,0.00309605581203683
371,0.0189659933990295,0.072999371887789,5.31079886027009e-06,6.48279501314543e-05,6.52843667295377e-05,6.44108134143384e-05,0.00307874301423411
441,0.0185432756747601,0.0661842798123528,4.99470732539298e-06,5.107703940874e-05,6.77471697136265e-05,5.51174513556636e-05,0.00310519139804904
381,0.0180961680173457,0.0626184580974906,5.33129154823508e-06,4.6410552673978e-05,6.97013349423227e-05,5.28061342690348e-05,0.0031006358927233
431,0.0174586684533868,0.0629128461093489,5.0720133444487e-06,4.86963674182719e-05,6.084292831326e-05,5.42731461411659e-05,0.00318046972930322
361,0.020777204637567,0.0668681474084811,5.01343890687081e-06,4.6004216600591e-05,5.80002487937358e-05,6.5772032410573e-05,0.00320700287027134
391,0.0175240213505696,0.0557857041671772,4.90938316723875e-06,4.14502634383655e-05,7.67145823532699e-05,6.18925849708197e-05,0.00308061408346858
401,0.0192475321150953,0.064328760102966,4.76548925143302e-06,5.53009588185839e-05,9.82151679891033e-05,5.18893696852932e-05,0.00314498842107577
421,0.0192727698775403,0.0640862319950974,4.7495545213482e-06,4.38373499979835e-05,8.07854811949812e-05,5.85356925960672e-05,0.00310761683979633
851,0.0186803133772053,0.0671904758374858,5.44131094833787e-06,4.92545243797768e-05,8.78576490044099e-05,7.27192376470237e-05,0.00324232677690835
941,0.0196184306850772,0.0627101169613227,5.16092255298572e-06,5.06360653111691e-05,6.08103481154821e-05,5.64951503544442e-05,0.00316337954152344
411,0.0189113671650988,0.0511688604152902,5.19348111821092e-06,4.01446794419654e-05,7.02971676466947e-05,5.2078519874098e-05,0.00319485309530856
271,0.0173899845473163,0.063397072832669,5.02708357767252e-06,5.72435883204139e-05,7.52471304972781e-05,6.22357709108733e-05,0.00314961398581836
911,0.0187232642681195,0.0603981462749164,4.99636102728984e-06,4.26074667821366e-05,7.23851451264511e-05,5.81593071452933e-05,0.00307523693766312
921,0.0191447144255856,0.0647432684543129,5.40240948255371e-06,4.51914367155493e-05,9.25344244923735e-05,5.38960227744061e-05,0.00317604963697265
871,0.0183875028076111,0.0553839068986722,4.99771471635672e-06,4.04925202123127e-05,5.63719172769998e-05,4.927064144397e-05,0.00310763871204081
951,0.0199772183365906,0.0629432752702451,5.51228316290686e-06,5.32865946200796e-05,6.10551467830367e-05,5.73384436623978e-05,0.00328415909734261
861,0.0184681967410218,0.061319090900541,4.66016014585845e-06,4.44630087611291e-05,0.000124972345531483,6.26748808982561e-05,0.00312860235360773
891,0.0199237869285278,0.0557303738111809,4.99727736024492e-06,3.48073205483272e-05,5.43284635772757e-05,4.92738974663253e-05,0.00312027887661354
841,0.0170162154552157,0.0542160154649699,4.81915176038435e-06,4.45434892394854e-05,8.79630438701204e-05,5.48354564309056e-05,0.0030452042827769
701,0.0193185400016216,0.0681152914929666,5.00158028093522e-06,4.95699412449322e-05,0.000106059829990263,5.90717330253277e-05,0.00311743399029582
551,0.0172722622468209,0.0543089294036559,4.96388718860727e-06,4.76802670474665e-05,6.10882766502157e-05,5.8093948016203e-05,0.00317906257585758
931,0.0184095824370094,0.0642957535887498,4.97612755764197e-06,4.76339473871779e-05,6.99318864112741e-05,5.77485194119318e-05,0.00316170438872974
741,0.019936847454443,0.0584872186075665,5.3378505084565e-06,4.40691281013498e-05,7.18353985035052e-05,5.2429192463654e-05,0.00329453519598328
661,0.0187743577346543,0.0649839644561172,5.06723534313462e-06,5.08158203117457e-05,7.17398868129929e-05,6.23771807544428e-05,0.00317444679270201
881,0.0201118921478101,0.0646466535318767,5.261365859347e-06,4.57776929870812e-05,8.11256291415254e-05,5.88383282593158e-05,0.00311580107496986
721,0.0194774156815807,0.0593444703644822,4.61261167867308e-06,4.35361831446289e-05,7.11089602047506e-05,5.43767430838566e-05,0.00308826328189698
